post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
124340288.people-moves-28052023,2023-05-28T10:28:30.860Z,true,2023-05-28T10:28:31.014Z,2023-05-28T10:28:31.014Z,newsletter,only_paid,People Moves: 28/05/2023,"ICYMI - Abu Dhabi Investment Authority appoints Head of Americas for Real Estate, KREST appoints Julia Butler as Chief Investment Officer and 819 bed PBSA scheme in Bristol forward sold to KKR",
122354578.people-moves-19052023,2023-05-19T00:08:21.768Z,true,2023-05-19T00:08:21.836Z,2023-05-19T00:08:21.836Z,newsletter,only_paid,People Moves: 19/05/2023,"ICYMI - New leadership appointments at L&G Capital, Abrdn, CBRE Switzerland and Climate Asset Management",
120777957.people-moves-11052023,2023-05-11T16:49:12.981Z,true,2023-05-11T16:49:13.182Z,2023-05-11T16:49:13.182Z,newsletter,only_paid,People Moves: 11/05/2023,"ICYMI - Barclays appoints experienced real estate CFO to lead Equity Capital Markets for EMEA, Inframark appoints Steve Meininger as Chief Executive Officer, and Cushman & Wakefield appoints new CEO",
119243512.news-and-insights-04052023,2023-05-04T11:29:34.099Z,true,2023-05-04T11:29:34.185Z,2023-05-04T11:29:34.185Z,newsletter,only_paid,News & Insights: 04/05/2023,"Ramboll appoints Head of Sustainability for Middle East, Cushman & Wakefield appoints two new National Directors to boost Asset Management Capabilities, and A Bird's Eye View of APAC's CRE Debt Market",
118773605.people-moves-02052023,2023-05-02T11:39:05.951Z,true,2023-05-02T11:39:06.076Z,2023-05-02T11:39:06.076Z,newsletter,only_paid,People Moves: 02/05/2023,"ICYMI - Schneider Electric appoints Javed Ahmad as Senior Vice President of Global Supply Chain North America, and Digital Realty appoints Steve Smith as Managing Director, Head of Americas",
117381088.people-moves-26042023,2023-04-26T11:32:01.354Z,true,2023-04-26T11:32:01.567Z,2023-04-26T11:32:01.567Z,newsletter,only_paid,People Moves: 26/04/2023,"Cushman & Wakefield WA completes 2 exciting new hires in WA Industrial team and JLL promotes Fraser Blackwood to Director of Planning, Energy & Infrastructure",
116909676.news-and-insights-24042023,2023-04-24T10:17:42.403Z,true,2023-04-24T10:17:42.461Z,2023-04-24T10:17:42.461Z,newsletter,only_paid,News & Insights: 24/04/2023,"ICYMI - IBR Group International spoke extensively with Oxford's Daniel Armanios, Professor of Major Programme Management, and AXA IM appoints Victoria Hall as Head of Infrastructure Funds in London",
116093913.people-moves-20042023,2023-04-20T16:00:09.469Z,true,2023-04-20T16:00:09.540Z,2023-04-20T16:00:09.540Z,newsletter,only_paid,People Moves: 20/04/2023,"ICYMI - Colliers New Zealand appoints Gareth Fraser as Chief Executive and Mark Synnott as Executive Chairman, CBRE publishes Asia Pacific Data Centre Trends Research Report for H2 2022",
115718251.people-moves-18042023,2023-04-18T22:52:51.959Z,true,2023-04-18T22:52:52.036Z,2023-04-18T22:52:52.036Z,newsletter,only_paid,People Moves: 18/04/2023,ICYMI - M&G Real Estate welcomes Robin Hubbard as Global Head of Real Estate Investor Relations from Schroders and Trei appoints Ivonne Mundil as new Head of Sustainability & ESG,
115206466.people-moves-16042023,2023-04-16T16:42:54.367Z,true,2023-04-16T16:42:54.448Z,2023-04-16T16:42:54.448Z,newsletter,only_paid,People Moves: 16/04/2023,"CBRE announces the appointment of Flint Davidson as its new Head of Capital Markets in Pacific, Essar Oil appoints Mike Mackay as Chief Transformation Officer, and GreenLab, Inc. appoints new COO",
114763453.people-moves-14042023,2023-04-14T11:54:11.014Z,true,2023-04-14T11:54:11.078Z,2023-04-14T11:54:11.078Z,newsletter,only_paid,People Moves: 14/04/2023,"Cushman & Wakefield’s WA Capital Markets team makes new appointment, Aris Water Solutions appoints Jacinto Hernandez to its Board, and Corvias appoints Erin Murphy as Property Operations RVP",
114543331.news-and-insights-13042023,2023-04-13T13:13:10.340Z,true,2023-04-13T13:13:10.435Z,2023-04-13T13:13:10.435Z,newsletter,only_paid,News & Insights: 13/04/2023,UKAA BTR Expo 2023 content sessions announced with conversations focused on Better Build to Rent Business and UK Residential ESG and Sustainability Conference 2023 to take place next month,
112579978.people-moves-04042023,2023-04-04T07:17:33.565Z,true,2023-04-04T07:17:33.670Z,2023-04-04T07:17:33.670Z,newsletter,only_paid,People Moves: 04/04/2023,"New senior management and board appointments across energy and infrastructure sector business lines at JLL, Mohr Partners, Aimco, Europcar and Cortland",
109416640.people-moves-19032023,2023-03-19T17:16:01.589Z,true,2023-03-19T17:16:01.737Z,2023-03-19T17:16:01.737Z,newsletter,only_paid,People Moves: 19/03/2023,"ICYMI - Imperative welcomes Nigel Topping to Global Advisory Board, and Schneider Electric appoints Mark Yeeles as VP of its Secure Power division in the United Kingdom & Ireland",
108528115.people-moves-15032023,2023-03-15T08:00:22.780Z,true,2023-03-15T08:00:22.864Z,2023-03-15T08:00:22.864Z,newsletter,only_paid,People Moves: 15/03/2023,"ICYMI - New global Energy & Infrastructure sector executive appointments welcomed at Colt Data Services, Macquarie Capital and Cushman & Wakefield",
107940225.people-moves-12032023,2023-03-12T08:16:12.704Z,true,2023-03-12T08:16:12.801Z,2023-03-12T08:16:12.801Z,newsletter,only_paid,People Moves: 12/03/2023,"ICYMI - KPMG UK appoints Philip Shields as Head of Real Estate Corporate Finance, and UK Govt announces £42 million to support the delivery of building safety reforms",
107352898.people-moves-09032023,2023-03-09T08:45:56.597Z,true,2023-03-09T08:45:56.685Z,2023-03-09T08:45:56.685Z,newsletter,only_paid,People Moves: 09/03/2023,"ICYMI - LaSalle appoints new Chief Executive Officer for Japan, and KPMG UK appoints Philip Shields as Head of Real Estate Corporate Finance",
107197689.news-and-insights-08032023,2023-03-08T14:34:27.129Z,true,2023-03-08T14:34:27.209Z,2023-03-08T14:34:27.209Z,newsletter,only_paid,News & Insights: 08/03/2023,"ICYMI - Cushman & Wakefield’s Women’s Integrated Network celebrates 500+ members, Landsea Homes announces location of new corporate headquarters, and Gilly Cooper joins Colt DCS as VP of HR",
106591176.news-and-insights-05032023,2023-03-05T13:13:26.658Z,true,2023-03-05T13:13:26.741Z,2023-03-05T13:13:26.741Z,newsletter,only_paid,News & Insights: 05/03/2023,"ICYMI - H.I.G. Capital appoints Colin Hannaway from Houlihan Lokey as Managing Director in New York, and Essex Property Trust to present at the 2023 Citigroup Global Property CEO Conference",
106246105.people-moves-03032023,2023-03-03T18:01:22.621Z,true,2023-03-03T18:01:22.730Z,2023-03-03T18:01:22.730Z,newsletter,only_paid,People Moves: 03/03/2023,"ICYMI - Keltbray appoints Aisling Reynolds as Group Environmental Manager, and Schneider Electric names new Chief Executive Officer for its AutoGrid business line",
105981645.news-and-insights-02032023,2023-03-02T11:25:40.820Z,true,2023-03-02T11:25:40.908Z,2023-03-02T11:25:40.908Z,newsletter,only_paid,News & Insights: 02/03/2023,"ICYMI - Colliers is named as Top three commercial real estate brand, DBS Bank officially launches Dhaka representative office, and Cushman & Wakefield welcomes new NSW Industrial Brokerage team",
105846652.news-and-insights-01032023,2023-03-01T17:28:48.217Z,true,2023-03-01T17:28:49.448Z,2023-03-01T17:28:49.448Z,newsletter,only_paid,News & Insights: 01/03/2023,"ICYMI - Bloom Energy signs MoU with Chantiers de l'Atlantique for fuel cell installations, and Heelstone Renewable Energy closes its USD $175 million credit facility with BlackRock Alternatives",
105625767.people-moves-28022023,2023-02-28T17:00:34.210Z,true,2023-02-28T17:00:34.377Z,2023-02-28T17:00:34.377Z,newsletter,only_paid,People Moves: 28/02/2023,ICYMI - Robert Bernard joins CBRE as Chief Sustainability Officer and Perch Energy appoints former Etsy CEO Maria Thomas to Board of Directors,
105446621.people-moves-27022023,2023-02-27T18:40:46.878Z,true,2023-02-27T18:40:47.036Z,2023-02-27T18:40:47.036Z,newsletter,only_paid,People Moves: 27/02/2023,"ICYMI - Pantheon appoints Jonathan Lulu as Managing Director of growing Real Estate platform in Chicago, and Landsea Homes welcomes two new Sales and Marketing appointments in Florida",
105205753.news-and-insights-26022023,2023-02-26T13:30:22.050Z,true,2023-02-26T13:30:22.112Z,2023-02-26T13:30:22.112Z,newsletter,only_paid,News & Insights: 26/02/2023,"ICYMI - UK Government announces new rules on Social Housing qualifications, and proposes overhaul of NSIP planning process",
104849759.news-and-insights-24022023,2023-02-24T14:02:18.731Z,true,2023-02-24T14:02:18.900Z,2023-02-24T14:02:18.900Z,newsletter,only_paid,News & Insights: 24/02/2023,"ICYMI - IBR Group International spoke with Irene Loucaides, the Managing Director of Grow Sustainability Consultancy, for an exclusive Top Voices in Sustainability industry interview",
104414810.people-moves-22022023,2023-02-22T10:00:31.033Z,true,2023-02-22T10:00:31.137Z,2023-02-22T10:00:31.137Z,newsletter,only_paid,People Moves: 22/02/2023,"ICYMI - Ault Alliance appoints Jay Looney as Chief Executive Officer of its wholly-owned subsidiary AC Management, Inc., and Cushman & Wakefield appoints National Director in Western Australia",
104221649.people-moves-21022023,2023-02-21T11:45:21.541Z,true,2023-02-21T11:45:21.648Z,2023-02-21T11:45:21.648Z,newsletter,only_paid,People Moves: 21/02/2023,"ICYMI - WSP USA appoints Kung Ven as Energy business leader, and Hive Energy appoints Mike O'Neil as Chief Executive Officer of its renewable energy business line, Hive Renewables",
104027003.news-and-insights-20022023,2023-02-20T12:43:49.822Z,true,2023-02-20T12:43:49.918Z,2023-02-20T12:43:49.918Z,newsletter,only_paid,News & Insights: 20/02/2023,"ICYMI - Antin Infrastructure invests in PearlX, which marks the first investment in North America for Antin’s NextGen platform and is positioned to play a key role in US decarbonisation initiatives",
103853411.news-and-insights-19022023,2023-02-19T13:42:44.209Z,true,2023-02-19T13:42:44.296Z,2023-02-19T13:42:44.296Z,newsletter,only_paid,News & Insights: 19/02/2023,ICYMI - JP Morgan's Chuka Umunna speaks on ESG; Centrick welcomes BTR Director; and new energy and infrastructure appointment at Black & Veatch who reposition Deepa Poduval as Sustainability Leader,
103252838.people-moves-16022023,2023-02-16T12:15:58.443Z,true,2023-02-16T12:15:58.520Z,2023-02-16T12:15:58.520Z,newsletter,only_paid,People Moves: 16/02/2023,"ICYMI - New energy & infrastructure promotions and appointments at Shearman & Sterling, Cushman & Wakefield, QIC, and ECL.",
103070556.people-moves-15022023,2023-02-15T15:15:17.717Z,true,2023-02-15T15:15:17.790Z,2023-02-15T15:15:17.790Z,newsletter,only_paid,People Moves: 15/02/2023,"ICYMI - Bernhard's Philip Catanzaro succeeds Jim Sabin as Chief Operating Officer after retirement announcement, and Centrick appoints Neelam Saihjpal as Build-to-Rent Director",
102834492.people-moves-14092023,2023-02-14T12:21:21.069Z,true,2023-02-14T12:21:21.167Z,2023-02-14T12:21:21.167Z,newsletter,only_paid,People Moves: 14/02/2023,"Amey appoints Lord Colin Moynihan as Chair of its Board, UKAA announces newly appointed Marketing and Communications Director, and DBS names new Chief Sustainability Officer",
102623061.people-moves-13022023,2023-02-13T12:03:33.631Z,true,2023-02-13T12:03:34.003Z,2023-02-13T12:03:34.003Z,newsletter,only_paid,People Moves: 13/02/2023,"DBS makes several internal appointments across South-East Asia, Arup appoints seven new Directors within its Energy business, and Bruton Knowles appoints new Head of Utilities & Infrastructure",
102051417.people-moves-10022023,2023-02-10T11:28:54.401Z,true,2023-02-10T11:28:54.519Z,2023-02-10T11:28:54.519Z,newsletter,only_paid,People Moves: 10/02/2023,"ICYMI - New senior team appointed for Cushman & Wakefield, Standard Chartered appoints Shelley Boland as Global Head of Property, and RPA appoints Siemens’ Anthony Casciano to Board of Directors",
101874665.news-and-insights-09022023,2023-02-09T16:05:52.245Z,true,2023-02-09T16:05:52.333Z,2023-02-09T16:05:52.333Z,newsletter,only_paid,News & Insights: 09/02/2023,"ICYMI - KKR's McVey publishes his labour market insights, DBS Bank partners with PBOC in landmark programme, and new report finds ESG reporting frameworks in infrastructure sector remain fractured",
101580793.news-and-insights-08022023,2023-02-08T11:28:05.019Z,true,2023-02-08T11:28:05.113Z,2023-02-08T11:28:05.113Z,newsletter,only_paid,News & Insights: 08/02/2023,"ICYMI - Prime Minister Rishi Sunak appoints Grant Shapps as Secretary of State for Energy in reshuffle, Heliogen's CEO Gross succeeded by its CFO Obiaya, and Hilltop poaches its new CIO from Nomura",
101396648.people-moves-07022023,2023-02-07T12:06:02.350Z,true,2023-02-07T12:06:02.467Z,2023-02-07T12:06:02.467Z,newsletter,only_paid,People Moves: 07/02/2023,"Carlyle Group welcomes former President of Goldman Sachs Harvey Schwartz as Chief Executive Officer, and Altus Power Inc. announces the appointment of Sophia Lee as Chief Sustainability Officer",
101191779.news-and-insights-06022023,2023-02-06T12:12:56.957Z,true,2023-02-06T12:12:58.993Z,2023-02-06T12:12:58.993Z,newsletter,only_paid,News & Insights: 06/02/2023,"ICYMI - Legal & General Group Plc announces retirement of long-serving CEO Sir Nigel Wilson, CBRE appoints new Capital Markets Head for China, and Barhale appoints new Regional Director for North East",
100985875.news-and-insights-05012023,2023-02-05T09:00:38.830Z,true,2023-02-05T09:00:38.882Z,2023-02-05T09:00:38.882Z,newsletter,only_paid,News & Insights: 05/02/2023,"ICYMI - Ørsted announces Dr. Varun Sivaram as Group SVP, Terra Firma Capital appoints Mike Kirchmair to its Board, and CBRE's Chris Ludeman provides insight into the firm’s recent success",
100693594.news-and-insights-03022023,2023-02-03T17:58:52.786Z,true,2023-02-03T17:58:52.850Z,2023-02-03T17:58:52.850Z,newsletter,only_paid,News & Insights: 03/02/2023,"ICYMI - Vicinity Centres appoints Peter Huddle as Chief Executive Officer, Natural England unveils new Green Infrastructure Framework, and IFM Investors to acquire stake in US biogas developer",
100419315.people-moves-02022023,2023-02-02T11:32:52.774Z,true,2023-02-02T11:32:52.912Z,2023-02-02T11:32:52.912Z,newsletter,only_paid,People Moves: 02/02/2023,"British International Investment appoints Chris Chijiutomi as Managing Director, Head of Africa, and Alvarez & Marsal appoints Timo Schmid as Managing Director in Australia",
100144378.news-and-insights-01022023,2023-02-01T06:28:25.710Z,true,2023-02-01T06:28:27.641Z,2023-02-01T06:28:27.641Z,newsletter,only_paid,News & Insights: 01/02/2023,"Colliers hires Mike Davis as Managing Director for Occupier Services in the APAC region, the question of data centre sustainability, and new CEBR research proposes ESG-linked property value index",
99985405.people-moves-31012023,2023-01-31T09:54:46.692Z,true,2023-01-31T09:54:46.786Z,2023-01-31T09:54:46.786Z,newsletter,only_paid,People Moves: 31/01/2023,"Savills hires Director to support shopping and retail park portfolio, Convergence Partners closes $296m (£240m) to fund digital infrastructure in Africa, and KGAL appoints new Research lead",
99770824.people-moves-30012023,2023-01-30T10:50:32.688Z,true,2023-01-30T10:50:32.825Z,2023-01-30T10:50:32.825Z,newsletter,only_paid,People Moves: 30/01/2023,"Colliers appoints Raja Alameddine as CEO of Colliers MENA, Xpeng appoints Fengying Wang as President, and Cohen & Steers appoints John Moore as Head of Private Wealth Solutions",
99588363.news-and-insights-29012023,2023-01-29T11:30:26.428Z,true,2023-01-29T11:30:26.515Z,2023-01-29T11:30:26.515Z,newsletter,only_paid,News & Insights: 29/01/2023,"ICYMI - VivoPower appoints Eduardo Nebot to its Advisory Council, Sienna Investment Managers appoints Floris Van Maanen as CEO of Sienna Real Estate, and Levelling Up projects in Wales awarded £208m",
99223597.news-and-insights-27012023,2023-01-27T12:24:05.994Z,true,2023-01-27T12:24:06.134Z,2023-01-27T12:24:06.134Z,newsletter,only_paid,News & Insights: 27/01/2023,"ICYMI - Commercial property advisor Jones Lang LaSalle appoints Sandra Ludwig as Head of Retail Capital Markets EMEA, and private equity investor KKR to announce fourth quarter 2022 results next month",
99071992.news-and-insights-26012023,2023-01-26T10:56:59.057Z,true,2023-01-26T10:56:59.148Z,2023-01-26T10:56:59.148Z,newsletter,only_paid,News & Insights: 26/01/2023,"IFM appoints Deepa Bharadwaj to succeed Christian Seymour as Head of Infrastructure for Europe, CBRE tops MSCI Real Assets rankings, and Cohen & Steers publishes results for Q4'22 and 2022 year ended",
98928863.people-moves-25012023,2023-01-25T18:16:47.722Z,true,2023-01-25T18:16:47.858Z,2023-01-25T18:16:47.858Z,newsletter,only_paid,People Moves: 25/01/2023,"Nuveen Real Estate appoints Randy Giraldo as Head of Europe, and Landsec names Channel 4’s Sir Ian Cheshire as its Chair succeeding Cressida Hogg",
98612915.people-moves-24012023,2023-01-24T07:25:28.418Z,true,2023-01-24T07:25:28.498Z,2023-01-24T07:25:28.498Z,newsletter,only_paid,People Moves: 24/01/2023,ICYMI - Landsea Homes names Vince Ruffino new division President in Texas and Enerflex Ltd appoints TransAlta's Laura W. Folse to its Board of Directors,
97678162.people-moves-19012023,2023-01-19T12:22:06.408Z,true,2023-01-19T12:22:06.535Z,2023-01-19T12:22:06.535Z,newsletter,only_paid,People Moves: 19/01/2023,"ICYMI - Cushman & Wakefield welcomes Megan McGrath and announces her as Senior Vice President, Investor Relations, alongside two new CEO hires at Reactivate, and Climate Impact Partners, respectively",
97269093.people-moves-17012023,2023-01-17T15:00:44.213Z,true,2023-01-17T15:00:44.317Z,2023-01-17T15:00:44.317Z,newsletter,only_paid,People Moves: 17/01/2023,"Fiera Capital appoints Global Head of Real Estate, BlackRock Real Estate makes more senior leadership changes, and KKR commits to invest an additional $1.15 Billion in Aircraft leasing with Altavair",
96822768.people-moves-15012023,2023-01-15T08:45:40.415Z,true,2023-01-15T08:45:40.527Z,2023-01-15T08:45:40.527Z,newsletter,only_paid,People Moves: 15/01/2023,"CBRE IM appoints APAC and EMEA Heads of Research, Ahmed Galal Ismail appointed Chief Executive Officer of Majid Al Futtaim Holding, and EAIF commits EUR 25m to 44MW Hydropower Plant in Côte d’Ivoire",
96427895.news-and-insights-13012023,2023-01-13T08:45:03.441Z,true,2023-01-13T08:45:03.610Z,2023-01-13T08:45:03.610Z,newsletter,only_paid,News & Insights: 13/01/2023,"LGIM Real Assets expands in the United States; appoints executive leadership team, Ares Management raises $5bn in Infrastructure Debt Capital, and Commerz Real acquires 28.5MW wind farm in Finland",
96206738.people-moves-12012023,2023-01-12T08:00:19.772Z,true,2023-01-12T08:00:19.854Z,2023-01-12T08:00:19.854Z,newsletter,only_paid,People Moves: 12/01/2023,"MHA appoints Natwest Group's Hiten Sonpal as Head of Green Finance, and Janus Henderson launches new Global Property investment fund",
96003482.people-moves-11012023,2023-01-11T08:11:05.420Z,true,2023-01-11T08:11:05.515Z,2023-01-11T08:11:05.515Z,newsletter,only_paid,People Moves: 11/01/2023,"Colliers announces Luke Dawson as Global Capital Markets Lead, and M&G raises €578m for new European Property Fund",
95803367.people-moves-10012023,2023-01-10T09:46:58.380Z,true,2023-01-10T09:46:58.500Z,2023-01-10T09:46:58.500Z,newsletter,only_paid,People Moves: 10/01/2023,"Colliers appoints Managing Director for its Singapore office, Climate Impact Partners appoints Sheri Hickok as Chief Executive Officer, and Clearwater International appoints Greg Cant as Partner",
95580876.people-moves-09012023,2023-01-09T08:40:26.698Z,true,2023-01-09T08:40:26.792Z,2023-01-09T08:40:26.792Z,newsletter,only_paid,People Moves: 09/01/2023,"ICYMI - Vutility appoints Stephen Prince as President and Chief Executive Officer, Amro Partners appoints Senior Managing Director and Commerz Real appoints Nicole Arnold to its Management Board",
95408281.people-moves-08012023,2023-01-08T11:17:14.760Z,true,2023-01-08T11:17:14.858Z,2023-01-08T11:17:14.858Z,newsletter,only_paid,People Moves: 08/01/2023,"ICYMI - Thomas Charvet joins Greystar France alongside several new year senior appointments at Ares Management Corporation, HSBC Asset Management, Atkins, and Melcor Real Estate Investment Trust",
94964238.people-moves-06012023,2023-01-06T02:50:00.916Z,true,2023-01-06T02:50:01.032Z,2023-01-06T02:50:01.032Z,newsletter,only_paid,People Moves: 06/01/2023,"Savills Earth appoints Wesley Ankrah as Director of Social Value, Commerz Real appoints Nicole Arnold to its management board, and Greystar France appoints Thomas Charvet as Managing Director",
94810730.people-moves-05012023,2023-01-05T10:03:07.945Z,true,2023-01-05T10:03:08.042Z,2023-01-05T10:03:08.042Z,newsletter,only_paid,People Moves: 05/01/2023,Browne Jacobson appoints former KPMG senior partner as Non-Executive Director of its Energy & Infrastructure sector group,
94655053.people-moves-04012023,2023-01-04T16:00:48.243Z,true,2023-01-04T16:00:48.347Z,2023-01-04T16:00:48.347Z,newsletter,only_paid,People Moves: 04/01/2023,"Savills appoints Tim Boeters as Co-Head Leasing at Savills in the Netherlands, Digital Realty appoints Matt Mercier as Chief Financial Officer, and KKR makes new purchase of SK E&S’ shares",
94220776.people-moves-02012023,2023-01-02T11:38:09.784Z,true,2023-01-02T11:38:09.954Z,2023-01-02T11:38:09.954Z,newsletter,only_paid,People Moves: 02/01/2023,"Cushman & Wakefield Portugal appoints Ana Luisa Cabrita as Head of Sustainability, and Singapore's Ministry of Sustainability and the Environment appoints Chief Sustainability Officer",
93616336.people-moves-29122022,2022-12-29T20:46:40.375Z,true,2022-12-29T20:46:40.502Z,2022-12-29T20:46:40.502Z,newsletter,only_paid,People Moves: 29/12/2022,Green Power names veteran commercial vehicle specialist as Vice President of Sales. PwC and SAP launch ESG Innovation Strategy and Neoen signs 215MW Australian Power Purchase Agreement,
93410000.people-moves-28122022,2022-12-28T19:00:45.541Z,true,2022-12-28T19:00:45.705Z,2022-12-28T19:00:45.705Z,newsletter,only_paid,People Moves: 28/12/2022,"Europa Capital appoints Gwendal Kalkofen as its new Head of Real Estate Finance and South Korea's SK Inc. accomplishes the highest ESG rating of 'AAA' from ratings provider, MSCI Inc.",
92504849.news-and-insights-23122022,2022-12-23T16:00:42.976Z,true,2022-12-23T16:00:43.082Z,2022-12-23T16:00:43.082Z,newsletter,only_paid,News & Insights: 23/12/2022,"Opimas reveals that 100 of the largest ESG funds posted negative returns - with only one exception, and Schroders European Real Estate Investment Trust refinances EUR 14 million loan",
92306581.news-and-insights-22122022,2022-12-22T16:41:01.809Z,true,2022-12-22T16:41:01.916Z,2022-12-22T16:41:01.916Z,newsletter,only_paid,News & Insights: 22/12/2022,The Crown Estate appoints Cushman & Wakefield as Leisure and Hospitality Advisers across its London portfolio and PIF buys up to 9.5% stake in Skyborn; invests in 30% of Tabreed,
92037583.people-moves-21122022,2022-12-21T09:28:04.805Z,true,2022-12-21T09:28:04.878Z,2022-12-21T09:28:04.878Z,newsletter,only_paid,People Moves: 21/12/2022,"KKR announces 27 new promotions to the role of Managing Director, and former DWS Chief Sustainability Officer appointed to Financial Conduct Authority’s new ESG advisory group",
87543674.people-moves-29112022,2022-11-29T13:01:03.375Z,true,2022-11-29T13:01:03.478Z,2022-11-29T13:01:03.478Z,newsletter,only_paid,People Moves: 29/11/2022,People Moves: M&G Real Estate appoints Laura Jockers as Head of ESG,
86126135.people-moves-22112022,2022-11-22T10:41:51.173Z,true,2022-11-22T10:41:51.376Z,2022-11-22T10:41:51.376Z,newsletter,only_paid,People Moves: 22/11/2022,DWS appoints George Anastasiou as Head of Real Estate in Australia and ICYMI: Investec Real Estate targets larger transactions with three hires in newly formed Syndication team,
85891519.people-moves-21112022,2022-11-21T12:01:17.809Z,true,2022-11-21T12:01:18.061Z,2022-11-21T12:01:18.061Z,newsletter,only_paid,People Moves: 21/11/2022,Investec Real Estate targets larger transactions with three hires in newly formed Syndication team,
85331268.news-and-insights-18112022,2022-11-18T11:57:36.103Z,true,2022-11-18T11:57:36.482Z,2022-11-18T11:57:36.482Z,newsletter,only_paid,News & Insights: 18/11/2022,Colliers publishes its APAC Market Snapshot report for Q3 2022 and DBS and OCBC Bank support Perennial as green loan advisors,
83871008.people-moves-11112022,2022-11-11T08:33:56.897Z,true,2022-11-11T08:33:57.063Z,2022-11-11T08:33:57.063Z,newsletter,only_paid,People Moves: 11/11/2022,"M&G Real Estate appoints Head of Property Research in Asia, Energy Vault appoints Jan Kees van Gaalen as Chief Financial Officer, and Colliers appoints new Managing Director for APAC",
83269104.people-moves-08112022,2022-11-08T09:44:54.094Z,true,2022-11-08T09:44:54.249Z,2022-11-08T09:44:54.249Z,newsletter,only_paid,People Moves: 08/11/2022,"Cushman & Wakefield adds Powerhouse to Adelaide CRE team, DBS Bank & global partners sound clarion call to climate innovators developing solutions to address carbon dioxide & greenhouse gas removal",
83064116.people-moves-07112022,2022-11-07T09:41:59.851Z,true,2022-11-07T09:41:59.973Z,2022-11-07T09:41:59.973Z,newsletter,only_paid,People Moves: 07/11/2022,"Ben Younger joins Cushman & Wakefield WA as Joint Head of Capital Markets, and Hines, Cadillac Fairview announce AUD 1.5 Billion partnership to invest in the Australian Build-to-Rent sector",
